DIVISION,YEAR,VARIABLE_ANTECEDENTE,VARIABLE_CONSECUENTE,SUPPORT,CONFIDENCE,LIFT,CONVICTION,ANTECEDENTE_VALOR,CONSECUENTE_VALOR
mujeres,2008,VIC_ES_INDIGENA,AGR_ES_INDIGENA,0.6124,0.9357,1.4615,5.595,no,no
mujeres,2008,AGR_ES_INDIGENA,VIC_ES_INDIGENA,0.6124,0.9566,1.4615,7.9596,no,no
mujeres,2008,VIC_ES_INDIGENA,AGR_ES_INDIGENA,0.3177,0.9196,2.556,7.9596,si,si
mujeres,2008,AGR_ES_INDIGENA,VIC_ES_INDIGENA,0.3177,0.883,2.556,5.595,si,si
mujeres,2008,VIC_ES_INDIGENA,GANA_MAS_LA_VICTIMA,0.3211,0.9353,1.0474,1.6546,si,no
mujeres,2008,AGR_ES_INDIGENA,GANA_MAS_LA_VICTIMA,0.3354,0.9345,1.0468,1.6387,si,no
mujeres,2009,AGR_ALFAB,AGR_SEXO,0.8131,0.9766,1.005,1.2087,alfabeta,hombres
mujeres,2009,VIC_ALFAB,AGR_ALFAB,0.6936,0.9216,1.1062,2.1284,alfabeta,alfabeta
mujeres,2009,AGR_ALFAB,VIC_ALFAB,0.6936,0.8326,1.1062,1.4776,alfabeta,alfabeta
mujeres,2009,VIC_EST_CIV,AGR_ALFAB,0.4024,0.8607,1.0338,1.2022,casados(as),alfabeta
mujeres,2009,VIC_REL_AGR,AGR_ALFAB,0.3748,0.8643,1.038,1.2334,esposos(as),alfabeta
mujeres,2009,CANTIDAD_HIJOS,AGR_ALFAB,0.312,0.8706,1.0456,1.2936,hijos medios,alfabeta
mujeres,2009,VIC_NIV_ESCOLARIDAD,AGR_ALFAB,0.4095,0.8971,1.0776,1.6283,primaria,alfabeta
mujeres,2009,AGR_NIV_ESCOLARIDAD,AGR_ALFAB,0.5117,1.0,1.2056,170530977.1483,primaria,alfabeta
mujeres,2009,AGR_ALFAB,AGR_NIV_ESCOLARIDAD,0.5117,0.6169,1.2056,1.2746,alfabeta,primaria
mujeres,2009,DIF_ALFAB,AGR_ALFAB,0.6936,0.8654,1.0388,1.2399,iguales,alfabeta
mujeres,2009,VIC_ES_INDIGENA,AGR_ALFAB,0.5701,0.8875,1.0632,1.4689,no,alfabeta
mujeres,2009,AGR_ES_INDIGENA,AGR_ALFAB,0.559,0.8867,1.0637,1.4686,no,alfabeta
mujeres,2009,AGR_EST_CIV,AGR_SEXO,0.4781,0.979,1.007,1.3244,casados(as),hombres
mujeres,2009,VIC_REL_AGR,AGR_EST_CIV,0.4138,0.9444,1.9339,9.2023,esposos(as),casados(as)
mujeres,2009,AGR_EST_CIV,VIC_REL_AGR,0.4138,0.8474,1.9339,3.6815,casados(as),esposos(as)
mujeres,2009,VIC_ALFAB,AGR_GRUPET,0.4902,0.6533,1.1251,1.2096,alfabeta,ladinos(as)
mujeres,2009,AGR_GRUPET,VIC_ALFAB,0.4902,0.8443,1.1251,1.6031,ladinos(as),alfabeta
mujeres,2009,VIC_ES_INDIGENA,AGR_GRUPET,0.5943,0.9291,1.491,5.3121,no,ladinos(as)
mujeres,2009,AGR_GRUPET,VIC_ES_INDIGENA,0.5943,0.9537,1.491,7.7876,ladinos(as),no
mujeres,2009,VIC_ES_INDIGENA,AGR_GRUPET,0.3194,0.8864,2.4924,5.6725,si,maya
mujeres,2009,AGR_GRUPET,VIC_ES_INDIGENA,0.3194,0.8981,2.4924,6.2754,maya,si
mujeres,2009,AGR_GRUPET,AGR_ES_INDIGENA,0.629,1.0,1.5899,371038712.8317,ladinos(as),no
mujeres,2009,AGR_ES_INDIGENA,AGR_GRUPET,0.629,1.0,1.5899,371038712.8317,no,ladinos(as)
mujeres,2009,AGR_GRUPET,AGR_ES_INDIGENA,0.3589,1.0,2.6951,628961287.1683,maya,si
mujeres,2009,AGR_ES_INDIGENA,AGR_GRUPET,0.3589,0.9674,2.6951,19.6746,si,maya
mujeres,2009,VIC_ES_INDIGENA,AGR_NACIONAL,0.3564,0.9968,1.0027,1.8305,si,guatemalteca
mujeres,2009,AGR_ES_INDIGENA,AGR_NACIONAL,0.3682,0.9988,1.0035,3.7605,si,guatemalteca
mujeres,2009,AGR_TRABAJA,AGR_SEXO,0.9038,0.9911,1.0203,3.2056,si,hombres
mujeres,2009,AGR_SEXO,AGR_TRABAJA,0.9038,0.9304,1.0203,1.2663,hombres,si
mujeres,2009,VIC_EST_CIV,AGR_SEXO,0.4552,0.9771,1.0058,1.244,casados(as),hombres
mujeres,2009,VIC_REL_AGR,AGR_SEXO,0.3359,1.0,1.0295,28629032.2581,conviviente,hombres
mujeres,2009,VIC_REL_AGR,AGR_SEXO,0.4325,1.0,1.0295,28629032.2581,esposos(as),hombres
mujeres,2009,VIOLENCIA_FISICA,AGR_SEXO,0.6819,0.9805,1.0094,1.4695,presente,hombres
mujeres,2009,QUIEN_ES_MAYOR,AGR_SEXO,0.7097,0.9782,1.0065,1.2894,agresor,hombres
mujeres,2009,GANA_MAS_LA_VICTIMA,AGR_SEXO,0.8845,0.9763,1.0051,1.2068,no,hombres
mujeres,2009,VIC_REL_AGR,AGR_TRABAJA,0.3163,0.9418,1.0328,1.5145,conviviente,si
mujeres,2009,VIC_REL_AGR,AGR_TRABAJA,0.4078,0.9396,1.0304,1.459,esposos(as),si
mujeres,2009,VIC_ES_INDIGENA,AGR_TRABAJA,0.3348,0.9324,1.0234,1.3147,si,si
mujeres,2009,AGR_ES_INDIGENA,AGR_TRABAJA,0.3455,0.9312,1.0224,1.2971,si,si
mujeres,2009,VIC_GRUPET,VIC_ALFAB,0.5031,0.8508,1.1318,1.6639,ladinos(as),alfabeta
mujeres,2009,VIC_ALFAB,VIC_GRUPET,0.5031,0.6693,1.1318,1.2357,alfabeta,ladinos(as)
mujeres,2009,VIC_ALFAB,VIC_RANGO_EDAD,0.6407,0.8526,1.0378,1.2105,alfabeta,adulto joven
mujeres,2009,VIC_NIV_ESCOLARIDAD,VIC_ALFAB,0.4554,1.0,1.3351,250991455.0881,primaria,alfabeta
mujeres,2009,VIC_ALFAB,VIC_NIV_ESCOLARIDAD,0.4554,0.608,1.3351,1.3892,alfabeta,primaria
mujeres,2009,VIC_ALFAB,DIF_ALFAB,0.6936,0.9216,1.1498,2.5309,alfabeta,iguales
mujeres,2009,DIF_ALFAB,VIC_ALFAB,0.6936,0.8654,1.1498,1.8375,iguales,alfabeta
mujeres,2009,VIC_ES_INDIGENA,VIC_ALFAB,0.5456,0.8508,1.1299,1.6556,no,alfabeta
mujeres,2009,VIC_ALFAB,VIC_ES_INDIGENA,0.5456,0.7247,1.1299,1.3027,alfabeta,no
mujeres,2009,VIC_ALFAB,AGR_ES_INDIGENA,0.5312,0.7064,1.1227,1.263,alfabeta,no
mujeres,2009,AGR_ES_INDIGENA,VIC_ALFAB,0.5312,0.8443,1.1227,1.5928,no,alfabeta
mujeres,2009,VIC_REL_AGR,VIC_DISC,0.3332,0.9913,1.0032,1.3694,conviviente,sin discapacidad
mujeres,2009,VIC_REL_AGR,VIC_EST_CIV,0.4013,0.9267,1.9892,7.283,esposos(as),casados(as)
mujeres,2009,VIC_EST_CIV,VIC_REL_AGR,0.4013,0.8614,1.9892,4.0904,casados(as),esposos(as)
mujeres,2009,VIC_GRUPET,VIC_ES_INDIGENA,0.6411,1.0,1.5598,358886718.75,ladinos(as),no
mujeres,2009,VIC_ES_INDIGENA,VIC_GRUPET,0.6411,1.0,1.5598,358886718.75,no,ladinos(as)
mujeres,2009,VIC_GRUPET,VIC_ES_INDIGENA,0.3486,1.0,2.7864,641113281.25,maya,si
mujeres,2009,VIC_ES_INDIGENA,VIC_GRUPET,0.3486,0.9713,2.7864,22.7011,si,maya
mujeres,2009,VIC_GRUPET,AGR_ES_INDIGENA,0.5938,0.938,1.491,5.9843,ladinos(as),no
mujeres,2009,AGR_ES_INDIGENA,VIC_GRUPET,0.5938,0.9439,1.491,6.536,no,ladinos(as)
mujeres,2009,VIC_GRUPET,AGR_ES_INDIGENA,0.3193,0.9213,2.484,7.9919,maya,si
mujeres,2009,AGR_ES_INDIGENA,VIC_GRUPET,0.3193,0.8608,2.484,4.6937,si,maya
mujeres,2009,VIC_REL_AGR,VIC_NACIONAL,0.4304,0.9956,1.0039,1.8857,esposos(as),guatemalteca
mujeres,2009,VIC_TRABAJA,VIC_NACIONAL,0.678,0.9931,1.0014,1.205,no,guatemalteca
mujeres,2009,VIC_ES_INDIGENA,VIC_NACIONAL,0.359,0.9993,1.0073,10.659,si,guatemalteca
mujeres,2009,AGR_ES_INDIGENA,VIC_NACIONAL,0.37,0.9964,1.0048,2.3025,si,guatemalteca
mujeres,2009,VIC_REL_AGR,GANA_MAS_LA_VICTIMA,0.3135,0.9333,1.0301,1.409,conviviente,no
mujeres,2009,AGR_OFICIO,VIC_TRABAJA,0.4093,0.8053,1.1622,1.5771,Ocupaciones elementales,no
mujeres,2009,VIC_TRABAJA,GANA_MAS_LA_VICTIMA,0.6764,0.9907,1.0939,10.1415,no,no
mujeres,2009,GANA_MAS_LA_VICTIMA,VIC_TRABAJA,0.6764,0.7469,1.0939,1.2533,no,no
mujeres,2009,CANTIDAD_HIJOS,VIC_RANGO_EDAD,0.3075,0.8633,1.0508,1.3051,hijos medios,adulto joven
mujeres,2009,QUIEN_ES_MAYOR,VIC_RANGO_EDAD,0.6281,0.8657,1.054,1.3302,agresor,adulto joven
mujeres,2009,VIC_NIV_ESCOLARIDAD,AGR_NIV_ESCOLARIDAD,0.3173,0.6936,1.3529,1.5906,primaria,primaria
mujeres,2009,AGR_NIV_ESCOLARIDAD,VIC_NIV_ESCOLARIDAD,0.3173,0.6189,1.3529,1.4236,primaria,primaria
mujeres,2009,VIC_NIV_ESCOLARIDAD,DIF_ALFAB,0.4095,0.8971,1.1204,1.9374,primaria,iguales
mujeres,2009,VIC_NIV_ESCOLARIDAD,GANA_MAS_LA_VICTIMA,0.425,0.9333,1.0305,1.4139,primaria,no
mujeres,2009,VIC_OTRAS_VICTIMAS,VIOLENCIA_PATRIMONIAL,0.4165,0.8972,1.0642,1.5264,no,no presente
mujeres,2009,VIOLENCIA_PATRIMONIAL,VIOLENCIA_SEXUAL,0.8331,0.9715,1.0062,1.2113,no presente,no presente
mujeres,2009,VIC_ES_INDIGENA,VIOLENCIA_SEXUAL,0.349,0.9725,1.0077,1.269,si,no presente
mujeres,2009,AGR_ES_INDIGENA,VIOLENCIA_SEXUAL,0.3608,0.9724,1.008,1.2809,si,no presente
mujeres,2009,VIC_ES_INDIGENA,VIOLENCIA_PATRIMONIAL,0.3216,0.896,1.0504,1.4129,si,no presente
mujeres,2009,AGR_ES_INDIGENA,VIOLENCIA_PATRIMONIAL,0.3321,0.8951,1.0501,1.4071,si,no presente
mujeres,2009,VIC_ES_INDIGENA,DIF_ALFAB,0.5479,0.8522,1.0627,1.34,no,iguales
mujeres,2009,AGR_ES_INDIGENA,DIF_ALFAB,0.5362,0.85,1.0612,1.3269,no,iguales
mujeres,2009,VIC_ES_INDIGENA,AGR_ES_INDIGENA,0.6006,0.938,1.4896,5.9744,no,no
mujeres,2009,AGR_ES_INDIGENA,VIC_ES_INDIGENA,0.6006,0.9537,1.4896,7.7748,no,no
mujeres,2009,VIC_ES_INDIGENA,AGR_ES_INDIGENA,0.3306,0.919,2.482,7.7748,si,si
mujeres,2009,AGR_ES_INDIGENA,VIC_ES_INDIGENA,0.3306,0.8928,2.482,5.9744,si,si
mujeres,2009,VIC_ES_INDIGENA,GANA_MAS_LA_VICTIMA,0.3365,0.9375,1.0356,1.5166,si,no
mujeres,2009,AGR_ES_INDIGENA,GANA_MAS_LA_VICTIMA,0.3467,0.9344,1.032,1.4415,si,no
mujeres,2010,AGR_EST_CIV,AGR_ALFAB,0.4218,0.8612,1.0376,1.225,casados(as),alfabeta
mujeres,2010,VIC_ALFAB,AGR_ALFAB,0.6821,0.9201,1.1077,2.1201,alfabeta,alfabeta
mujeres,2010,AGR_ALFAB,VIC_ALFAB,0.6821,0.8212,1.1077,1.4466,alfabeta,alfabeta
mujeres,2010,VIC_EST_CIV,AGR_ALFAB,0.4021,0.8597,1.0354,1.2094,casados(as),alfabeta
mujeres,2010,VIC_REL_AGR,AGR_ALFAB,0.3608,0.8686,1.046,1.2903,esposos(as),alfabeta
mujeres,2010,CANTIDAD_HIJOS,AGR_ALFAB,0.3054,0.8646,1.0412,1.2524,hijos medios,alfabeta
mujeres,2010,VIC_NIV_ESCOLARIDAD,AGR_ALFAB,0.3885,0.8956,1.0782,1.6227,primaria,alfabeta
mujeres,2010,AGR_NIV_ESCOLARIDAD,AGR_ALFAB,0.4982,1.0,1.2093,173055059.2821,primaria,alfabeta
mujeres,2010,AGR_ALFAB,AGR_NIV_ESCOLARIDAD,0.4982,0.6024,1.2093,1.2622,alfabeta,primaria
mujeres,2010,DIF_ALFAB,AGR_ALFAB,0.6821,0.861,1.0365,1.2182,iguales,alfabeta
mujeres,2010,VIC_ES_INDIGENA,AGR_ALFAB,0.5532,0.8912,1.0737,1.562,no,alfabeta
mujeres,2010,AGR_ES_INDIGENA,AGR_ALFAB,0.5423,0.8905,1.0741,1.5609,no,alfabeta
mujeres,2010,AGR_EST_CIV,AGR_SEXO,0.4779,0.9757,1.0056,1.2227,casados(as),hombres
mujeres,2010,VIC_REL_AGR,AGR_EST_CIV,0.4029,0.954,1.948,11.0956,esposos(as),casados(as)
mujeres,2010,AGR_EST_CIV,VIC_REL_AGR,0.4029,0.8227,1.948,3.2584,casados(as),esposos(as)
mujeres,2010,AGR_GRUPET,AGR_ES_INDIGENA,0.6061,1.0,1.6498,393862894.4505,ladinos(as),no
mujeres,2010,AGR_ES_INDIGENA,AGR_GRUPET,0.6061,1.0,1.6498,393862894.4505,no,ladinos(as)
mujeres,2010,AGR_GRUPET,AGR_ES_INDIGENA,0.3835,1.0,2.539,606137105.5495,maya,si
mujeres,2010,AGR_ES_INDIGENA,AGR_GRUPET,0.3835,0.9737,2.539,23.4398,si,maya
mujeres,2010,VIC_REL_AGR,AGR_NACIONAL,0.4142,0.9961,1.0019,1.4715,esposos(as),guatemalteca
mujeres,2010,VIC_TRABAJA,AGR_NACIONAL,0.6973,0.9953,1.0011,1.2395,no,guatemalteca
mujeres,2010,VIC_ES_INDIGENA,AGR_NACIONAL,0.3863,0.9975,1.0034,2.3608,si,guatemalteca
mujeres,2010,AGR_ES_INDIGENA,AGR_NACIONAL,0.3975,0.998,1.0034,2.718,si,guatemalteca
mujeres,2010,AGR_TRABAJA,AGR_SEXO,0.9053,0.9903,1.0216,3.1724,si,hombres
mujeres,2010,AGR_SEXO,AGR_TRABAJA,0.9053,0.9339,1.0216,1.2989,hombres,si
mujeres,2010,VIC_REL_AGR,AGR_SEXO,0.3373,1.0,1.0318,30833561.2959,conviviente,hombres
mujeres,2010,VIC_REL_AGR,AGR_SEXO,0.4147,1.0,1.0318,30833561.2959,esposos(as),hombres
mujeres,2010,VIOLENCIA_FISICA,AGR_SEXO,0.7008,0.9775,1.0086,1.3696,presente,hombres
mujeres,2010,QUIEN_ES_MAYOR,AGR_SEXO,0.7052,0.9745,1.0056,1.2111,agresor,hombres
mujeres,2010,VIC_REL_AGR,AGR_TRABAJA,0.3181,0.9416,1.0301,1.4715,conviviente,si
mujeres,2010,VIC_REL_AGR,AGR_TRABAJA,0.3915,0.9431,1.0317,1.509,esposos(as),si
mujeres,2010,AGR_NIV_ESCOLARIDAD,AGR_TRABAJA,0.464,0.9292,1.0158,1.2042,primaria,si
mujeres,2010,VIC_ES_INDIGENA,AGR_TRABAJA,0.3578,0.9375,1.0258,1.3771,si,si
mujeres,2010,AGR_ES_INDIGENA,AGR_TRABAJA,0.3679,0.9348,1.0241,1.3375,si,si
mujeres,2010,VIC_ALFAB,VIC_RANGO_EDAD,0.6339,0.8574,1.0353,1.2047,alfabeta,adulto joven
mujeres,2010,VIC_NIV_ESCOLARIDAD,VIC_ALFAB,0.4328,1.0,1.3581,263694419.1028,primaria,alfabeta
mujeres,2010,VIC_ALFAB,DIF_ALFAB,0.6821,0.9201,1.1614,2.6009,alfabeta,iguales
mujeres,2010,DIF_ALFAB,VIC_ALFAB,0.6821,0.861,1.1614,1.8607,iguales,alfabeta
mujeres,2010,VIC_ES_INDIGENA,VIC_ALFAB,0.5216,0.8436,1.1418,1.6695,no,alfabeta
mujeres,2010,VIC_ALFAB,VIC_ES_INDIGENA,0.5216,0.706,1.1418,1.2982,alfabeta,no
mujeres,2010,VIC_ALFAB,AGR_ES_INDIGENA,0.5067,0.6868,1.1324,1.2563,alfabeta,no
mujeres,2010,AGR_ES_INDIGENA,VIC_ALFAB,0.5067,0.8354,1.1324,1.5933,no,alfabeta
mujeres,2010,VIC_ES_INDIGENA,VIC_DISC,0.3841,0.9941,1.0032,1.5378,si,sin discapacidad
mujeres,2010,AGR_ES_INDIGENA,VIC_DISC,0.3959,0.9937,1.003,1.4684,si,sin discapacidad
mujeres,2010,VIC_REL_AGR,VIC_EST_CIV,0.3899,0.9393,2.0124,8.7815,esposos(as),casados(as)
mujeres,2010,VIC_EST_CIV,VIC_REL_AGR,0.3899,0.8354,2.0124,3.5528,casados(as),esposos(as)
mujeres,2010,VIC_GRUPET,VIC_ES_INDIGENA,0.6179,1.0,1.6183,382072005.878,ladinos(as),no
mujeres,2010,VIC_ES_INDIGENA,VIC_GRUPET,0.6179,1.0,1.6183,382072005.878,no,ladinos(as)
mujeres,2010,VIC_GRUPET,VIC_ES_INDIGENA,0.3712,1.0,2.6173,617927994.122,maya,si
mujeres,2010,VIC_ES_INDIGENA,VIC_GRUPET,0.3712,0.9716,2.6173,22.145,si,maya
mujeres,2010,VIC_GRUPET,AGR_ES_INDIGENA,0.5685,0.9316,1.5413,5.7868,ladinos(as),no
mujeres,2010,AGR_ES_INDIGENA,VIC_GRUPET,0.5685,0.9405,1.5413,6.5503,no,ladinos(as)
mujeres,2010,VIC_GRUPET,AGR_ES_INDIGENA,0.3436,0.9224,2.3319,7.7886,maya,si
mujeres,2010,AGR_ES_INDIGENA,VIC_GRUPET,0.3436,0.8687,2.3319,4.7779,si,maya
mujeres,2010,VIC_REL_AGR,VIC_NACIONAL,0.4138,0.9966,1.0045,2.3071,esposos(as),guatemalteca
mujeres,2010,VIC_TRABAJA,VIC_NACIONAL,0.6945,0.9941,1.0019,1.3167,no,guatemalteca
