,,,,
ESTADÍSTICAS DE VIOLENCIA INTRAFAMILIAR 2010,,,,
Valores de las variables,,,,
,,,,
Código,Descripción del código,Valor,Etiqueta,
,,6113,Cultivador de viveros / semillas,
,,6113,Floricultor,
,,6113,Floricultor rosas,
,,6113,Floricultor tulipanes,
,,6113,Hortalicero,
,,6113,Hortelano,
,,6113,Horticultor,
,,6113,Horticultor viveros,
,,6113,Jardinero,
,,6113,Jardinero de campos deportivos,
,,6113,Jardinero de casa particular,
,,6113,Jardinero parques,
,,6113,Jardinero semillero,
,,6113,Jardinero viveros,
,,6113,"Patiero, jardinero",
,,6113,"Trabajador agrícola calificado, césped",
,,6113,"Trabajador agrícola calificado, cultivo de hongos",
,,6113,"Trabajador agrícola calificado, horticultura",
,,6113,"Trabajador agrícola calificado, vivero",
,,6114,Agricultores y trabajadores calificados de cultivos mixtos,
,,6114,"Agente de agricultor, policultivos",
,,6114,"Trabajador agrícola calificado, policultivos",
,,6121,"Criadores de ganado y otros animales domésticos, productores de leche y sus derivados",
,,6121,Criador de animales domésticos/piel,
,,6121,Criador de caballos,
,,6121,Criador de corderos de astracán,
,,6121,Criador de ganado,
,,6121,Criador de ganado bovino,
,,6121,Criador de ganado caballar,
,,6121,Criador de ganado caprino,
,,6121,Criador de ganado lechero,
,,6121,Criador de ganado ovino,
,,6121,Criador de ganado porcino,
,,6121,Criador de gatos,
,,6121,Criador de perros,
,,6121,Esquilador,
,,6121,Ganadero,
,,6121,Inseminador,
,,6121,Inseminador ganado,
,,6121,Ordeñador,
,,6121,"Pastor, ganado",
,,6121,"Ranchero, finca",
,,6121,Trabajador pecuario calificado animales domésticos / pieles,
,,6121,Trabajador pecuario calificado criadero de animales,
,,6121,Trabajador pecuario calificado ganado porcino,
,,6121,"Trabajador pecuario calificado, ganadería",
,,6121,"Trabajador pecuario calificado, ganadería y producción de leche",
,,6121,"Trabajador pecuario calificado, ganado lanar",
,,6122,Avicultores y trabajadores calificados de la avicultura,
,,6122,Avicultor,
,,6122,Avicultor de cría / criadero,
,,6122,Avicultor de huevos,
,,6122,Avicultor de incubación artificial,
,,6122,Avicultor de ocas,
,,6122,Avicultor de patos,
,,6122,Avicultor de pavos,
,,6122,Avicultor de pollos,
,,6122,Clasificador de huevos,
,,6122,Clasificador de pollos,
,,6122,Criador de aves de caza,
,,6122,Criador de aves de corral,
,,6122,Granjero avicultor,
,,6122,Inseminador aves,
,,6122,"Sexador, pollos",
,,6122,"Trabajador calificado, avicultura",
,,6122,"Trabajador calificado, incubadoras",
,,6123,Apicultores y sericicultores y trabajadores calificados de la apicultura y la sericicultura,
,,6123,"Apicultor, propietario",
,,6123,Criador de gusano de seda,
,,6123,Criador de serpientes,
,,6123,Sericicultor,
,,6123,"Trabajador calificado, apicultura",
,,6123,"Trabajador calificado, sericicultura",
,,6124,Criadores y trabajadores calificados de la cría de animales domésticos diversos,
,,6124,Criador de criadero diversificado,
,,6124,"Trabajador calificado, criadero diversificado",
,,6129,"Criadores y trabajadores pecuarios calificados de la cría de animales para el mercado y afines, no clasificados bajo otros epígrafes",
,,6129,"Adiestrador, animales",
,,6129,"Adiestrador, perros",
,,6129,Criador de animales / reservas naturales,
,,6129,Criador de animales de laboratorio / cobayos,
,,6129,Criador de animales no domésticos / pieles finas,
,,6129,Criador de animales salvajes / pieles finas,
,,6129,Criador de aves,
,,6129,Criador de aves y pájaros / caza,
,,6129,Criador de aves y pájaros domésticos,
,,6129,Criador de avestruces,
,,6129,Criador de caracoles,
,,6129,Criador de leones,
,,6129,Criador de pájaros salvajes,
,,6129,Criador de renos,
,,6129,Criador de reptiles / ofidios,
,,6129,Cuidador animales / parques zoológicos,
,,6129,Cuidador animales / reservas naturales,
,,6129,Domador caballos,
,,6129,Entrenador de caballos de carrera,
,,6129,Guardián de ganado,
,,6129,Guardián de pajarera,
,,6129,Guardián de parque zoológico,
,,6129,Trabajador animales salvajes / pieles finas,
,,6129,"Trabajador calificado, aves y pájaros salvajes",
,,6129,"Trabajador calificado, cría de avestruces",
,,6129,Trabajador cría de pájaros,
,,6129,Trabajador cría de pájaros salvajes,
,,6129,Trabajador zoológico,
,,6130,Productores y trabajadores agropecuarios calificados cuya producción se destina al mercado ,
,,6130,"Caporal, finca",
,,6130,"Productor, agropecuario",
,,6130,"Productor, explotación mixta / policultivos y cría",
,,6130,Trabajador agropecuario calificado,
,,6141,Taladores y otros trabajadores forestales,
,,6141,Almadiero,
,,6141,Aserrador de monte,
,,6141,Clasificador de troncos,
,,6141,"Cubicador, madera",
,,6141,Descorchador alcornoques,
,,6141,Descortezador arboles,
,,6141,Escalador podador arboles,
,,6141,Escuadrador troncos,
,,6141,Flotador troncos,
,,6141,Gabarrero,
,,6141,Ganchero,
,,6141,Hachero,
,,6141,Leñador,
,,6141,Leñatero,
,,6141,Maderero,
,,6141,Marcador arboles,
,,6141,Medidor de madera (cubicador),
,,6141,Plantador arboles / silvicultura,
,,6141,"Podador, silvicultura",
,,6141,"Secador, corcho",
,,6141,"Supervisor, forestal",
,,6141,Talador,
,,6141,"Trabajador forestal calificado, repoblación forestal",
,,6141,"Trabajador forestal calificado, silvicultura",
,,6141,Trozador,
,,6141,"Trozador, arboles",
,,6141,"Trozador, traviesas de ferrocarril",
,,6141,"Trozador, vigas",
,,6141,"Vigilante, monte",
,,6142,Carboneros de carbón vegetal y afines,
,,6142,Carbonero (hace carbón),
,,6142,"Carbonero, carbón vegetal",
,,6142,Destilador madera,
,,6142,Trabajador carbonero calificado carbón vegetal / técnicas tradicionales,
,,6142,"Trabajador forestal calificado, destilación de madera / técnicas radicionales",
,,6151,Criadores de especies acuáticas,
,,6151,Criador de madreperlas,
,,6151,Criador de ostras,
,,6151,Cultivador de algas,
,,6151,Marisquero (criador de mariscos),
,,6151,Ostricultor,
,,6151,Piscicultor,
,,6151,Piscicultor incubador de pescado,
,,6151,"Trabajador calificado, incubadoras / huevos de peces",
,,6151,"Trabajador calificado, ostricultor",
,,6151,"Trabajador calificado, pescados y mariscos",
,,6151,"Trabajador calificado, piscicultura",
,,6152,Pescadores de agua dulce y en aguas costeras,
,,6152,Buzo pescador / esponjas,
,,6152,Buzo pescador / ostras,
,,6152,"Pescador, agua dulce",
,,6152,"Pescador, costero",
,,6152,"Pescador, esponjas",
,,6152,"Pescador, mariscador",
,,6152,"Pescador, mejillonero",
,,6152,"Pescador, ostras perlíferas",
,,6152,"Trabajador calificado, pesca / agua dulce",
,,6152,"Trabajador calificado, pesca / aguas costeras",
,,6153,Pescadores de alta mar,
,,6153,Almadrabero,
,,6153,Pescador de alta mar,
,,6153,Pescador de altura,
,,6153,Pescador de bajura,
,,6153,"Pescador, tunero",
,,6153,"Trabajador calificado, pesca / alta mar",
,,6154,Cazadores y tramperos,
,,6154,Arponero,
,,6154,Ballenero,
,,6154,Cazador,
,,6154,"Cazador, ballenas",
,,6154,"Cazador, focas",
,,6154,Descuartizador ballenas,
,,6154,Montero (cazador de animales),
,,6154,Ojeador,
,,6154,Trampero,
,,6154,Trampero pieles,
,,6154,Zorrero,
,,6210,Trabajadores agropecuarios y pesqueros de subsistencia,
,,6210,"Agente de agricultor, subsistencia",
,,6210,"Pescador, para su subsistencia",
,,6210,"Trabajador agrícola calificado, cultivos de subsistencia",
,,7111,Mineros y canteros,
,,7111,"Ademador, minas",
,,7111,Ajustador-electricista de aladrero,
,,7111,"Apuntalador, minas",
,,7111,"Arrancaestemples, canteras",
,,7111,"Arrancaestemples, minas",
,,7111,Barretero,
,,7111,Cantero,
,,7111,Desentibador canteras,
,,7111,Desentibador minas,
,,7111,Desmuestrador canteras,
,,7111,Desmuestrador minas,
,,7111,Desmuestrador sondeo,
,,7111,Despilarador,
,,7111,Enganchador de vagonetas / minas,
,,7111,Entibador minas / galerías o canteras,
,,7111,Minero,
,,7111,Minero hidráulica / laboreo de placeres,
,,7111,Minero subsuelo,
,,7111,Minero superficie,
,,7111,"Perforador, canteras",
,,7111,"Perforador, minas de metal",
,,7111,"Picador, minas",
,,7111,Sacamuestras,
,,7112,Pegadores,
,,7112,"Artillero, canteras",
,,7112,"Barrenador, minas",
,,7112,"Barrenador, minerales no metálicos",
,,7112,"Barrenador, pavimento",
,,7112,Barrenero,
,,7112,Dinamitero,
,,7112,"Pegador, canteras",
,,7112,"Pegador, minas",
,,7113,"Tronzadores, labrantes y grabadores de piedra",
,,7113,Administrador de adornista,
,,7113,"Administrador de adornista, monumentos",
,,7113,"Amolador, piedra",
,,7113,"Amolador, pizarra",
,,7113,Arenero,
,,7113,Aserrador de piedra,
,,7113,Clasificador de piedras,
,,7113,Cortador de piedra,
,,7113,Cortador piedra / inscripciones,
,,7113,Cortador-pulidor piedra,
,,7113,Dolador piedras,
,,7113,Escogedor piedras,
,,7113,Grabador de inscripciones / piedra,
,,7113,Grabador de lapidas,
,,7113,Grabador de piedra,
,,7113,Hendedor piedras,
,,7113,Labrante chorro de arena,
,,7113,Labrante mampostero monumentos,
,,7113,Labrante piedra,
,,7113,Mampostero monumentos,
,,7113,Operario de cepilladora,
,,7113,"Operario, ornamentación y montaje",
,,7113,Pedrero,
,,7113,"Perforador, piedras",
,,7113,Picapedrero,
,,7113,"Pulidor, granito",
,,7113,"Pulidor, mármol",
,,7113,"Pulidor, piedra",
,,7113,"Pulidor, pizarra",
,,7113,"Tallador, piedra",
,,7113,"Tallador, pizarra",
,,7113,"Tallador, pulidor piedra",
,,7113,Tallista,
,,7113,"Tornero, labra / piedra",
,,7113,"Trazador, piedra",
,,7113,"Tronzador, piedra",
,,7114,Montador de estructuras metálicas,
,,7121,Constructores con técnicas y materiales tradicionales,
,,7121,Constructor de casas / materiales tradicionales,
,,7121,Maestro de obra materiales tradicionales,
,,7122,Albañiles y mamposteros,
,,7122,Administrador de adoquinador,
,,7122,Ajustador-electricista de albañalero,
,,7122,Albañil de chimeneas,
,,7122,Albañil de construcción,
,,7122,"Albañil de fumista, industrial",
,,7122,Albañil de hornos,
,,7122,Albañil de lingoteras / ladrillo,
,,7122,"Albañil de mampostero, construcción",
,,7122,Albañil de material refractario,
,,7122,Albañil de piedra / construcción,
,,7122,Albañil de revestimiento / hornos,
,,7122,Colocador de bordillos,
,,7122,Colocador de ladrillos / chimeneas,
,,7122,Enladrillador,
,,7122,Estuquista decorador,
,,7122,Fundidor (construcción),
,,7122,Fundidor de terraza,
,,7122,Mampostero,
,,7122,Mampostero en construcción,
,,7122,Mampostero fachadas,
,,7122,Mampostero pavimentación,
,,7122,Pavimentador,
,,7122,"Pisero, colocador",
,,7122,Pulimentador,
,,7122,Rejuntador mampostería,
,,7122,"Remachador, construcción",
,,7122,Sepulturero,
,,7123,"Operarios en cemento armado, enfoscadores y afines",
,,7123,"Armador, construcción",
,,7123,"Armador, hormigón armado",
,,7123,Cementista,
,,7123,"Cementista, hormigón armado",
,,7123,"Cementista, trabajos de acabado",
,,7123,Encofrador cemento,
,,7123,Encofrador hormigón,
,,7123,Enfoscador,
,,7123,Mezclador de cemento,
,,7123,"Operario, curado del hormigón",
,,7123,"Operario, enrejado del hormigón",
,,7123,"Operario, moldeo",
,,7123,"Pavimentador, terrazos",
,,7123,"Solador, terrazos",
,,7123,"Soldador, terraza (pavimento continuo)",
,,7124,Carpinteros de armar y de blanco,
,,7124,"Acepillador, madera",
,,7124,Ayudante de carpintero,
,,7124,Carpintero,
,,7124,Carpintero de a bordo,
,,7124,Carpintero de armado,
,,7124,Carpintero de armar / encofrados,
,,7124,Carpintero de astillero,
,,7124,Carpintero de aviación,
,,7124,Carpintero de banco / taller,
,,7124,Carpintero de construcción,
,,7124,Carpintero de decorados,
,,7124,Carpintero de embarcadero,
,,7124,Carpintero de minas,
,,7124,Carpintero de obras de afuera,
,,7124,Carpintero de plato / cine,
,,7124,Carpintero de puertas y ventanas,
,,7124,Carpintero de ribera,
,,7124,Carpintero de taller,
,,7124,Carpintero de trabajos de mantenimiento,
,,7124,Carpintero armador puentes y  embarcaderos,
,,7124,Carpintero constructor barcas de madera,
,,7124,Carpintero constructor mástiles,
,,7124,"Carpintero-ebanista, astilleros",
,,7124,Machihembrador,
,,7124,Portaventanero,
,,7129,"Oficiales y operarios de la construcción (obra gruesa) y afines, no clasificados bajo otros epígrafes",
,,7129,"Apuntalador, edificación",
,,7129,Colocador de cables subterráneos,
,,7129,Constructor de edificios / materiales no tradicionales,
,,7129,"Demoledor, edificios",
,,7129,Enlucidor suelos plásticos,
,,7129,Ensamblador elementos prefabricación/edificación,
,,7129,Entarugador pavimentos,
,,7129,Maestro de obras (construcción),
,,7129,Maestro de obras edificios / materiales no tradicionales,
,,7129,Montador de andamios,
,,7129,Montador de andamios / letreros,
,,7129,Montador de elementos prefabricados/edificación,
,,7129,Montador de tarugos / construcción,
,,7129,"Obrero en mantenimiento, edificio",
,,7129,"Obrero en perforación, excusados",
,,7129,"Obrero en perforación, pozos",
,,7129,"Operario, apeos",
,,7129,"Operario, apuntalamiento / edificación",
,,7129,"Operario, construcción / trabajos a gran altura",
,,7129,"Operario, demolición",
,,7129,"Operario, mantenimiento / edificios",
,,7129,"Operario, reparación / chimeneas",
,,7129,"Operario, reparación / edificios",
,,7129,"Perforador, pozos",
,,7129,Pocero,
,,7129,Pocero (perforador),
,,7129,"Reparador, chimeneas",
,,7129,"Revestidor, pozos",
,,7131,Techadores,
,,7131,"Techador, asfalto",
,,7131,"Techador, chapa galvanizada",
,,7131,"Techador, construcción",
,,7131,"Techador, en metal",
,,7131,"Techador, faja y similares",
,,7131,"Techador, material sintético",
,,7131,"Techador, paja",
,,7131,"Techador, pizarra",
,,7131,"Techador, tablas de ripia",
,,7131,"Techador, tejas",
,,7132,Parqueteros y colocadores de suelos,
,,7132,Azulejero,
,,7132,Embalsador muros,
,,7132,Embalsador suelos,
,,7132,Enlosador,
,,7132,Marmolista,
,,7132,Montador de tejas,
,,7132,Mosaiquero,
,,7132,Mosaista,
,,7132,Parquetero,
,,7132,Parquetero tarimas,
,,7132,Solador,
,,7132,"Solador, baldosas",
,,7132,"Solador, construcción",
,,7132,"Solador, tarugos",
,,7133,Revocadores,
,,7133,Decorador escayolista,
,,7133,Decorador yeso fibroso,
,,7133,"Decorador, estuquista",
,,7133,Enlistonador,
,,7133,Enlucidor yeso,
,,7133,Escayolista,
,,7133,Listonero,
,,7133,Revocador,
,,7133,Yesero,
,,7134,Instaladores de material aislante y de insonorización,
,,7134,"Agrónomo aislador, calderas y tuberías",
,,7134,"Agrónomo aislador, sonidos",
,,7134,Instalador aislación térmica,
,,7134,Instalador aislación / calderas y tuberías,
,,7134,Instalador aislación / edificios,
,,7134,Instalador de insonorización,
,,7134,Instalador de material aislante,
,,7134,Instalador de refrigeración y climatización,
,,7134,"Operario, trabajos de aislación",
,,7135,Cristaleros,
,,7135,Cristalero,
,,7135,"Cristalero, claraboyas / colocación de cristales(sin masilla)",
,,7135,"Cristalero, colocador lunas de vidrio",
,,7135,"Cristalero, cristales emplomados",
,,7135,"Cristalero, doble vidrio",
,,7135,"Cristalero, edificios",
,,7135,"Cristalero, vehículos",
,,7135,"Cristalero, vidrieras",
,,7135,Instalador de persianas,
,,7135,"Operario, trabajos de vidriería",
,,7135,"Vidriero, construcción",
,,7135,"Vidriero, edificios",
,,7135,"Vidriero, lunas de vidrio",
,,7135,"Vidriero, vehículos",
,,7135,"Vidriero, vidrieras artísticas",
,,7135,"Vidriero, vidrieras de iglesia",
,,7136,Fontaneros e instaladores de tuberías,
,,7136,Colocador de conducciones,
,,7136,Colocador de tuberías de drenaje,
,,7136,Colocador de tubos y conducciones,
,,7136,Empalmador conducciones,
,,7136,Excavador pozos de agua,
,,7136,Fontanero,
,,7136,Fontanero aparatos químicos,
,,7136,Fontanero buques,
,,7136,Instalador de gas,
,,7136,Instalador de tuberías,
,,7136,Instalador tuberías / aeronaves,
,,7136,Instalador tuberías / barcos,
,,7136,Instalador tuberías / buques,
,,7136,Instalador tuberías / desagüe,
,,7136,Instalador tuberías / distribución de agua,
,,7136,Instalador tuberías / gas,
,,7136,Instalador tuberías / vapor de agua,
,,7136,Instalador tuberías / ventilación,
,,7136,"Operario, fontanería",
,,7136,Plomero,
,,7136,Tubero (colocador de tubos),
,,7137,Electricistas de obras y afines,
,,7137,Ayudante de electricista ( construcción ),
,,7137,Electricista de aeronaves,
,,7137,Electricista de alumbrado (gas neón),
,,7137,Electricista de buques,
,,7137,Electricista de construcción,
,,7137,Electricista de edificio / montaje instalación,
,,7137,Electricista de edificios (construcción),
,,7137,Electricista de escenario y plato,
,,7137,Electricista de ferrocarril,
,,7137,Electricista de instalaciones de cine,
,,7137,Electricista de mantenimiento (cine),
,,7137,Electricista de minas,
,,7137,Electricista de teatro,
,,7137,Electricista de tranvía,
,,7137,Electricista de vehículos de motor,
,,7137,Electricista en general,
,,7137,"Electricista, reparador",
,,7137,"Electricista, reparador edificios",
,,7141,Pintores y empapeladores,
,,7141,Ayudante de pintor (construcción),
,,7141,Decorador de abordo / barcos,
,,7141,Empapelador,
,,7141,Empapelador (construcción),
,,7141,Encalador,
,,7141,"Operario, empapelado de muros",
,,7141,"Pintor de, brocha edificación",
,,7141,"Pintor de, casas",
,,7141,"Pintor de, construcciones metálicas",
,,7141,"Pintor de, puentes",
,,7141,"Pintor decorador, accesorios interiores de barcos",
,,7141,"Pintor decorador, edificios",
,,7141,"Pintor decorador, revestimiento de muros",
,,7141,"Pintor, cascos de buques",
,,7141,"Pintor, coches de viajero y vagones/ferrocarril",
,,7141,"Pintor, construcciones",
,,7141,"Pintor, construcciones metálicas",
,,7141,"Pintor, decorados / cine",
,,7141,"Pintor, decorados / teatro",
,,7141,"Pintor, edificios",
,,7141,"Pintor, fachadas exteriores / edificación",
,,7141,"Pintor, minio de plomo",
,,7141,"Pintor, pulverizador edificación",
,,7141,"Pintor, viviendas",
,,7141,Tapizador (empapelador de paredes),
,,7142,Barnizadores y afines,
,,7142,"Barnizador, metales",
,,7142,"Barnizador, productos manufacturados",
,,7142,"Barnizador, vehículos",
,,7142,"Pintor de, automóviles",
,,7142,"Pintor de, muebles",
,,7142,"Pintor, a pistola metal",
,,7142,"Pintor, metales",
,,7142,"Pintor, productos manufacturados",
,,7142,"Pintor, vehículos",
,,7143,Limpiadores de fachadas y deshollinadores,
,,7143,Deshollinador,
,,7143,Desratizador,
,,7143,Limpiador de cañón de chimeneas,
,,7143,Limpiador de fachadas / chorro de arena,
,,7143,Limpiador de fachadas / chorros de vapor,
,,7143,Limpiador de tuberías,
,,7211,Moldeadores y macheros,
,,7211,Constructor de machos / máquina,
,,7211,Constructor de machos / metal,
,,7211,Cucharero metal,
,,7211,Machero fundición,
,,7211,Moldeador de artesa,
,,7211,Moldeador de caja,
,,7211,Moldeador de fundición,
,,7211,Moldeador de fundición / a máquina,
,,7211,Moldeador de moldes / metal fundido,
,,7211,"Prensador, moldes banco",
,,7211,"Preparador, moldes fosas",
,,7211,"Preparador, moldes suelo y fosas / metal",
,,7212,Soldadores y oxicortadores,
,,7212,"Agrónomo ajustador, operador, máquina de soldar / bisutería",
,,7212,"Agrónomo ajustador, operador, máquina de soldar / metales",
,,7212,Cobre soldador,
,,7212,"Cobre soldador, horno",
,,7212,"Cobre soldador, inducción",
,,7212,"Cobre soldador, soplete",
,,7212,Cortador arco eléctrico,
,,7212,"Operador, máquina soldadora / arco eléctrico",
,,7212,Oxicortador,
,,7212,Soldador,
,,7212,Soldador a plomo,
,,7212,Soldador a tope,
,,7212,Soldador corriente de inducción,
,,7212,"Soldador, acetileno",
,,7212,"Soldador, arco eléctrico",
,,7212,"Soldador, cautín",
,,7212,"Soldador, contacto",
,,7212,"Soldador, costuras longitudinales",
,,7212,"Soldador, gas",
,,7212,"Soldador, gas y electricidad",
,,7212,"Soldador, horno",
,,7212,"Soldador, metal",
,,7212,"Soldador, oxiacetileno",
,,7212,"Soldador, puntos",
,,7212,"Soldador, resistencia eléctrica",
,,7212,"Soldador, soldadura blanda/a mano",
,,7212,"Soldador, soplete",
,,7212,"Soldador, termita",
,,7212,"Soldador, tope / presión y calentamiento eléctrico",
,,7212,"Sopletista, soldador",
,,7213,Chapistas y caldereros,
,,7213,"Calderero, chapista",
,,7213,"Caldero, chapas de acero",
,,7213,"Caldero, cobre",
,,7213,"Cerrajero, muebles de metal",
,,7213,Chapista de automóviles,
,,7213,Chapista de aviones,
,,7213,Chapista de carrocerías,
,,7213,Chapista de decoración,
,,7213,Chapista de ornamentación,
,,7213,Chapista en general,
,,7213,Chapista muebles/metal,
,,7213,"Chapista, caldero",
,,7213,"Chapista, hojalatero",
,,7213,"Chapista, montador muebles",
,,7213,"Chapista, trazador",
,,7213,Hojalatero,
,,7214,Montadores de estructuras metálicas,
,,7214,"Armador, blindaje / buques",
,,7214,"Armador, estructuras / acero",
,,7214,"Curvador, chapas/metal",
,,7214,Montador de armazones metálicas / buques,
,,7214,Montador de estructuras / acero,
,,7214,Montador de planchas / astilleros,
,,7214,Remachador,
,,7214,"Remachador, martillo neumático",
,,7214,"Remachador, metal",
,,7214,"Replanteador, estructuras metálicas",
,,7214,"Trazador, estructuras gálibos / astillero",
,,7214,"Trazador, estructuras metálicas",
,,7215,Aparejadores y empalmadores de cables,
,,7215,Ajustador de cordajes,
,,7215,Aparejador,
,,7215,Aparejador de aparatos de elevación,
,,7215,Aparejador de buques,
,,7215,Aparejador de máquinas de izar,
,,7215,Aparejador de máquinas de izar / construcción,
,,7215,Aparejador de perforaciones / petróleo y gas,
,,7215,Empalmador cables,
,,7215,Montador de cables / aviación,
,,7215,Montador de cables / puentes colgantes,
,,7215,Montador de cables / teleférico,
,,7215,Montador de cables / telesillas y telesquis,
,,7215,Montador de cables y cuerdas,
,,7216,Buzos,
,,7216,Buzo,
,,7216,Hombre rana salvamento,
,,7216,"Operario, trabajos subacuáticos",
,,7221,Herreros y forjadores,
,,7221,"Apisonador, forja",
,,7221,Forjador,
,,7221,Forjador a martillo,
,,7221,Forjador a martillo pilón,
,,7221,Forjador a prensa,
,,7221,Forjador de aperos agrícolas,
,,7221,Forjador de herramientas,
,,7221,Fundidor piezas de moldeo,
,,7221,Herrador,
,,7221,Herrero,
,,7221,Martillador,
,,7221,"Operario, forja",
,,7221,Trefilador a mano / alambre,
,,7222,Herramentistas y afines,
,,7222,Ajustador de calibradores,
,,7222,Ajustador de mandriles,
,,7222,"Ajustador, herramentista, gálibos",
,,7222,"Ajustador, herramentista, máquinas",
,,7222,"Ajustador, herramentista, matrices",
,,7222,"Ajustador, herramentista, trazador",
,,7222,"Ajustador, modelista, fundición",
,,7222,Armero,
,,7222,Ayudante de cerrajero,
,,7222,Cerrajero,
,,7222,Escopetero,
,,7222,Herramentista,
,,7222,Herramentista precisión,
,,7222,Herramentista prensa,
,,7222,Matricero,
,,7222,Mecánico de armería fina,
,,7222,Mecánico de herramientas,
,,7222,Mecánico-ajustador estampado,
,,7222,Mecánico-ajustador herramientas con punta de diamante,
,,7222,Mecánico-ajustador herramientas y matrices,
,,7222,"Trazador, metales",
,,7222,"Troquelador, acabador forjas",
,,7223,Reguladores y reguladores-operadores de máquinas herramientas,
,,7223,Constructor de juguetes,
,,7223,"Regulador, máquinas herramientas",
,,7223,"Regulador, máquinas herramientas / metalurgia",
,,7223,"Regulador, torno automático",
,,7223,"Regulador, torno revolver",
,,7223,"Regulador-operador torno, automático",
,,7223,"Regulador-operador torno, de embutir",
,,7223,"Regulador-operador torno, de roscar",
,,7223,"Regulador-operador torno, revolver",
,,7223,"Regulador-operador torno, torno",
,,7223,"Regulador-operador, capilladora",
,,7223,"Regulador-operador, escopleadora de metales",
,,7223,"Regulador-operador, esmeriladora",
,,7223,"Regulador-operador, fresadora",
,,7223,"Regulador-operador, fresadora / estampas",
,,7223,"Regulador-operador, lapidadora",
,,7223,"Regulador-operador, mandriladora",
,,7223,"Regulador-operador, mandriladora/vertical",
,,7223,"Regulador-operador, máquina cortadora",
,,7223,"Regulador-operador, máquina de mecanismo de control numérico",
,,7223,"Regulador-operador, máquina de tallar / engranajes",
,,7223,"Regulador-operador, máquina extrusora",
,,7223,"Regulador-operador, máquinas herramientas",
,,7223,"Regulador-operador, mortajadora",
,,7223,"Regulador-operador, ranuradora",
,,7223,"Regulador-operador, rectificadora",
,,7223,"Regulador-operador, rectificadora / metalurgia",
,,7223,"Regulador-operador, rectificadora / precisión",
,,7223,"Regulador-operador, rectificadora-bruñidora / cilindros",
,,7223,"Regulador-operador, taladradora",
,,7223,"Regulador-operador, taladradora múltiple",
,,7223,"Regulador-operador, taladradora vertical",
,,7223,Taladradora brazo radial,
,,7223,Taladrista,
,,7223,Tornero,
,,7223,"Tornero, metal",
,,7223,"Tornero, muebles de metal",
,,7224,Pulidores de metales y afiladores de herramientas,
,,7224,Administrador de afilador ambulante,
,,7224,Afilador de cuchillería,
,,7224,Afilador de herramientas,
,,7224,Afilador de instrumentos cortantes,
,,7224,Afilador de sierras,
,,7224,"Agrónomo aguzador, herramientas",
,,7224,"Amolador, sierras",
,,7224,"Bruñidor, metales",
,,7224,Lijador de metal,
,,7224,Limpiador de metales,
,,7224,"Pulidor, metal",
,,7224,"Pulidor, metales / acabador especular",
,,7224,"Pulidor, metales / arena",
,,7224,"Pulidor, metales a máquina",
,,7224,"Pulidor, metales / esmeril",
,,7224,"Rectificador, herramientas",
,,7224,"Rectificador, máquinas cardadoras / textiles",
,,7224,"Rectificador, máquinas herramientas",
,,7224,"Rectificador, metales",
,,7224,"Reparador, sierras",
,,7231,Mecánicos y ajustadores de vehículos de motor,
,,7231,Afinador de motores / vehículos,
,,7231,Ajustador de motores vehículos,
,,7231,"Alineador, autos",
,,7231,Ayudante de mecánico,
,,7231,"Ayudante de mecánico, ferrocarril",
,,7231,Mecánico de autobuses,
,,7231,Mecánico de automóviles,
,,7231,Mecánico de camiones,
,,7231,Mecánico de dirección y frenos de automóviles,
,,7231,Mecánico de garaje,
,,7231,Mecánico de motocicletas,
,,7231,Mecánico de taller de reparaciones/automóviles,
,,7231,Mecánico de tractores,
,,7231,Mecánico de transmisiones de automóviles,
,,7231,Mecánico de vehículos de motor,
,,7231,Mecánico especialista en motores diesel vehículos de motor,
,,7231,Mecánico especialista en motores tractores,
,,7231,Probador automóviles / reparaciones,
,,7231,"Reparador, autos",
,,7231,"Reparador, bicicletas",
,,7232,Mecánicos y ajustadores de motores de avión,
,,7232,Ajustador de motores / avión,
,,7232,"Ajustador, montador, armazones / avión",
,,7232,Mecánico de a bordo,
,,7232,Mecánico de aviones,
,,7232,Mecánico de aviones / sistemas hidráulicos,
,,7232,Mecánico pista de aterrizaje,
,,7232,Mecánico especialista en motores de avión,
,,7232,Montador de armazones metálicas / aviones,
,,7232,"Reparador, aviones",
,,7233,Mecánicos y ajustadores de máquinas agrícolas e industriales,
,,7233,"Aceitador, engrasador",
,,7233,"Aceitador, engrasador, buques",
,,7233,Ajustador de mantenimiento / maquinaria industrial,
,,7233,"Ajustador de máquina, imprenta",
,,7233,Ajustador de maquinaria agrícola,
,,7233,Ajustador de maquinaria / movimiento de tierras,
,,7233,Ajustador de máquinas / industria,
,,7233,Ajustador de máquinas / industria textil,
,,7233,Ajustador de máquinas / labrar (madera),
,,7233,Ajustador de máquinas / minería,
,,7233,Ajustador de máquinas de vapor,
,,7233,Ajustador de máquinas herramientas,
,,7233,"Ajustador de máquinas, oficina",
,,7233,Ajustador de motores marinos,
,,7233,Ajustador de turbinas,
,,7233,Engrasador,
,,7233,Engrasador barcos,
,,7233,Mecánico de mantenimiento / establecimientos industriales,
,,7233,Mecánico de maquinaria industrial,
,,7233,Mecánico de maquinaria textil,
,,7233,Mecánico de maquinaria / movimiento de tierras,
,,7233,Mecánico de sala de máquinas / barco,
,,7233,Mecánico de turbinas,
